id,episode_id,user_id,played_at
4b511ee4-5667-46ac-b188-23e2baf00443,e81c3f7d-a555-427c-88be-fca29ea9ef29,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 09:56:05.833944+00
4ccdb856-feba-4252-a16e-340df438f1f0,74ee5b61-0633-4a0f-8901-f9422ed8d107,8138f3c9-3fbc-4c13-94c8-cbc2b77b1350,2026-03-11 08:09:09.856508+00
534d1966-8090-4abc-b4f6-ff2daa762f23,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 13:08:42.647677+00
55b49416-84d6-4f0a-bb78-5d3c4116c9a0,7b7c2030-1e7d-4e6a-aa6d-39aab020c221,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:29:29.807423+00
5f92a497-ac50-4004-a691-90aeaf07fb50,d4bc51d1-6a48-4aba-93be-432b1bdc2056,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 11:48:52.262919+00
5f94356c-f1be-4c15-a734-d81eb3711f5e,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-10 19:02:23.525858+00
6673280a-40ef-42fe-99b7-ee49df153b84,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:25:20.676279+00
66d3ecfb-d15f-45e9-bf70-57d131837c71,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-04-05 16:32:04.054299+00
6cc659ea-29f3-437a-9330-fa2b19edfff6,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-17 20:19:14.930437+00
7499ca86-99b0-4e1b-b310-0a43d674bcd5,77ddd59b-a363-4bff-bfc3-6507608bdcd0,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 11:48:36.141334+00
752f9682-02e5-4f0a-aa6a-31f2d45318c8,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-22 14:47:07.945382+00
760b771f-08ac-4a12-9e34-0e943464055f,74ee5b61-0633-4a0f-8901-f9422ed8d107,489f1033-9fdf-4cb6-969d-a3f35ae1a2c8,2026-03-14 12:03:22.892314+00
7795a307-7872-4aec-848d-38cf037f9185,74ee5b61-0633-4a0f-8901-f9422ed8d107,8138f3c9-3fbc-4c13-94c8-cbc2b77b1350,2026-03-10 22:17:44.437992+00
7c58c871-d767-421b-98d2-b7a843ebc43a,74ee5b61-0633-4a0f-8901-f9422ed8d107,4f7826bf-9a4e-4367-bc94-ceb7b322a611,2026-03-16 13:49:50.26941+00
7cd1f7a9-6ed1-4675-89e7-78513c262351,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-12 19:09:19.843641+00
7efafa8f-6905-49c0-bd5b-1d655e3a1129,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 20:25:11.714965+00
7fa19903-0bde-44a3-9b21-080a19c6f6ae,35e6ec3c-4ba9-4b9c-a27b-e9c6d3e99c0f,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:28:36.870262+00
81dc1338-3e1d-4b91-97ac-b32be4ff6678,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:07:32.708324+00
909e86da-cf4d-47e7-99ed-da30c6d24b9a,35e6ec3c-4ba9-4b9c-a27b-e9c6d3e99c0f,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:30:39.766147+00
964dd32b-e640-41d8-a965-d059c60fc08c,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-19 18:26:18.028861+00
972bbbe0-8e56-471e-b51d-0a7b36bc10be,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 10:43:51.974513+00
996976cb-5ba9-412e-8dc6-e3e257aed1e6,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-28 18:46:08.814399+00
a2319b77-48ee-4494-84aa-e28b2f7b3946,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:25:36.219998+00
a296643f-5315-4ebc-9244-df0580f7b955,74ee5b61-0633-4a0f-8901-f9422ed8d107,8e1d27c4-f95e-4daa-81c2-c759368d7da5,2026-03-11 14:13:11.74077+00
a49f8a57-5312-4e04-a32c-5c81e2014edf,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-23 10:32:02.090332+00
a6a53733-9083-4aac-9b55-822ecc86de05,e81c3f7d-a555-427c-88be-fca29ea9ef29,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-16 12:45:30.304643+00
